# Simulated random data file for batch processing
# timestamp: 2021-05-16 16:29:24
# NJG
# ------------------------

"varX","varY"
0.00601869868114591,0.520037736510858
0.985508529702201,0.612619081046432
0.97850509127602,0.156599834561348
0.380975032923743,0.383160535013303
0.800988839939237,0.533128269715235
0.167919701198116,0.449058438418433
0.550643323455006,0.484788945876062
0.220723326783627,0.165663078660145
0.641737248981372,0.495623868191615
0.774333358975127,0.697201065253466
NA,0.9488806494046
0.499392216326669,0.43536379840225
NA,NA
0.722020427230746,0.656679133651778
0.972882154630497,0.548275332897902
0.912278587929904,NA
NA,0.12846078327857
0.391711369389668,0.589126865379512
0.995024189120159,0.452716319821775
0.529994862154126,0.0761566581204534
NA,NA
0.564789459807798,0.0657850864809006
0.817948033800349,0.0663004007656127
0.663704199716449,0.381761603755876
0.131727897329256,0.306076967157423
0.830740344943479,0.554874163819477
0.472453348804265,0.0583916590549052
0.812199734617025,0.433149914257228
0.00852801906876266,NA
0.642828083829954,0.745516201248392
0.676845155423507,0.170413112035021
0.945362816797569,0.266490543726832
0.713048989651725,0.910113761667162
0.879128223983571,0.84747175546363
NA,NA
0.835011252667755,0.808745703427121
0.67466042120941,0.7784583568573
0.537636849330738,0.140355896437541
